category,query,solution
Special Bookings,Who qualifies for concessionary fares?,"We offer discounted fares for our special guests flying across India. Here’s who can enjoy these concessionary fares:

Members of the Indian Armed Forces and Para-Military Forces

Members, veterans, war widows and widows of CAPF (Central Armed Police Force) & AR (Assam Rifles) and CPOs (Central Police Organizations), General Reserve Engineering Force personnel, war-disabled officers, and members who are recipient of the highest bravery awards receive discounts on domestic flights.

Senior citizens in India

Indian residents over the age of 60 get a discount for economy class on Air India domestic flights. Eligible guests must be Indian nationals, permanent residents of India, and at least 60 years of age on the travel date. Standard fees apply for flight changes, cancellations, or refunds. Guests must carry any valid photo ID issued by the Government of India to avail of the offer.

Students in India

Students in India receive a discount on the base fare for domestic flights when travelling between home and school. Eligible students must be studying in India, at least 12 years old on the day of travel, enrolled in a full-time course for at least one academic year, and attending an educational establishment recognised, aided by, or affiliated with a central or state government, educational board, university, etc.

Humanitarian concessionary fares

The eligibility and documentation required for Indian citizens who can receive fare discounts on humanitarian grounds are as follows:

Blind persons: Certificate from an eye hospital or MBBS practitioner.

Mobility challenge (at least 80% locomotor impairment): Certificate from chief district medical officer or government hospital board.

Cancer patients (travelling for medical purposes only): Application and certificate from a cancer hospital or institute.

Concessions for Bharat Ratna Award recipients

Recipients of India’s highest civilian award, the Bharat Ratna, can get a discount on the base airfare by showing a copy of the Bharat Ratna award certificate signed by the President of India.

For specific details about applicable discounts, please visit our official concessionary fares page."
Fares,Can I check flight availability and fares without buying a ticket?,"You can certainly check flights and fares without buying a ticket with Air India. Here’s how:

Visit our official Flight Schedule Page and input your departure and arrival cities and travel dates. Then select ‘One Way’ or ‘Round Trip’ based on your travel plans and click ‘Submit’. You will be able to view available flights and their fares.

Checking flight availability allows you to plan your journey without any obligation to buy a ticket. You can compare options and make informed decisions for your travel arrangements."
Fares,Are the fares on the website and app inclusive of taxes?,"Yes, the fares displayed while you book flight tickets on our website or app include taxes. This transparency ensures that you clearly understand the total cost of your ticket upfront, without any hidden charges.

It is important to note that if an additional tax is introduced between your booking and travel date, you will be notified of the charge, which will be collected at the check-in counter.

Additionally, if you book your ticket using credit cards, a transaction fee will be collected by your bank. Your bank’s policies determine this fee and are not included in the fares displayed during the booking process.

We are committed to providing a transparent and hassle-free booking experience, ensuring you have the information to plan your travels."
Payment & Security,Which payment modes are accepted for online bookings?,"Air India accepts a variety of payment modes for online bookings to provide you with convenient options. Here is what you can use to pay when booking a flight with us online:

Credit card - American Express, Visa, Master, Diners and JCB
Internet banking
RuPay cards
Wallets
EMI
UPI"
Payment & Security,Is it safe to share my personal information and credit card details online?,"We prioritise the security of your personal information and credit card details when making online bookings. Air India’s booking platform (website or app) is designed with robust security measures to ensure the safety of sharing this information online:

Encryption technology: Secure payment gateways use encryption to protect your data.

Compliance with standards: Air India follows industry security standards to prevent unauthorised access.

Secure connection:Transactions are conducted over encrypted connections (https://).

Verified payment methods: We only accept recognised and secure payment modes.

Privacy policy: Air India’s comprehensive privacy policy safeguards your information and aligns with data protection regulations.

We are committed to providing a safe and seamless online booking experience so you can fly with confidence!"
Payment & Security,Can I use more than one credit card to pay for a booking?,"Unfortunately, we do not offer the option to split the payment for a booking across multiple credit cards. When booking online with Air India, you must use a single credit card for a transaction.

Book a Flight"
Payment & Security,"Can I purchase a ticket for someone else using my credit card, even if I’m not travelling with them?","Certainly, you can purchase a ticket for someone else using your credit card, even if you’re not travelling with them. However, there are specific requirements to ensure safety and authorisation.

Photocopy of credit card: The passenger for whom you’re purchasing the ticket must carry a photocopy of both sides of the credit card used for booking. The photocopy must be signed by the cardholder, authorising the use of the card for the ticket purchase.

Visible information:For security reasons, only the card's first and last four digits should remain visible on the photocopy. The middle six digits and the security CVV should be struck out.

Check-in requirement: It’s important that the passenger presents the photocopy at the time of check-in at the airport counter. Failure to submit it may result in Air India denying boarding.

Our priority is to ensure the security and validity of transactions while providing flexibility in booking tickets. We appreciate your understanding and cooperation in following these security measures to ensure a smooth and secure travel experience."
Payment & Security,Why do I need to pay a convenience fee?,"By paying a convenience fee, you gain access to the ease of booking flights from anywhere. Convenience fee is a non-refundable fee applied to all bookings made via our website, app, or call centres. The fee applies to all modes of payment and is charged per customer per ticket.

The fee varies based on the type of travel and destination:

Domestic (travel within India): INR 300

From India to short-haul international destination: INR 500

From India to long-haul international destination: INR 700

From short haul* international into India: USD 6

From long haul* international into India except from Australia, Canada, and USA: USD 9

*Short haul: Africa, Bahrain, Hong Kong, Israel, Kuwait, Oman, SAARC, Saudi Arabia, Singapore, Thailand and UAE

*Long haul: Australia, Canada, Europe, Japan, South Korea, USA and UK.

We appreciate your understanding of this fee, which contributes to the flexibility of booking flights."
Booking Confirmation,I have yet to receive a booking confirmation. What should I do?,"If you have not received a booking confirmation from Air India after making a reservation, please follow these steps:

Check spam/junk folder: Sometimes, the booking confirmation ends up in your email spam or junk folder. Please make sure you check those as well.

Retrieve online: You can go to the 'Manage Booking' section on our app or website to retrieve your booking details and resend the itinerary receipt to your email.

Contact support: Alternatively, you can raise a request on our Customer Support Portal, and our team will help you resolve the issue.

We are committed to providing support and assistance to ensure a smooth booking experience for all our guests."
Booking Confirmation,Do I need to reconfirm my booking before I travel?,"Rest assured, there’s no need to reconfirm your booking before your journey with Air India. Our booking process is designed to be straightforward, and your reservation is secure once confirmed. "
Change Your Booking,Can I make changes to my booking online?,"Yes, you can make changes to your booking online, depending on the fare type you’ve selected. We offer different fare types, some of which allow changes to be made to your booking online. These changes may include modifying travel dates, etc.

To make changes to your booking online:

Retrieve the booking: Visit the Manage Booking section on our app or website and enter your booking reference and last name.

Select the changes: Once you’ve accessed your booking, select the changes you want to make. Follow the prompts to modify the details.

Review and confirm: After making the necessary changes, you can review the updated itinerary and confirm the modifications.

Reviewing the fare rules and conditions associated with your booking is essential, as changes are typically allowed with certain fare types and may incur fees."
Change Your Booking,"I booked my ticket, but I can see the fare has dropped. Can I get a refund for the difference?","Unfortunately, we do not offer refunds for fare differences if the ticket price drops after your booking. Prices for Air India flights are dynamic and change frequently. Once a ticket is purchased, the fare is typically non-refundable and non-changeable unless you have purchased a fare type that allows changes or cancellations with associated fees.

Similarly, if the fare goes up after you book your ticket, we will not charge you the additional amount unless there is a directive to levy charges from airports, governments, authorities, or another agency.

Air India aims to provide passengers with a range of fare choices to accommodate various preferences and needs. It is advisable to carefully review the fare rules and conditions during the booking process to select the fare option that best suits your needs.
"
Change Your Booking,How can I cancel an existing booking?,"To cancel your booking, please visit Manage Booking."
Change Your Booking,Can I get a refund if I have to cancel my booking?,"You can request a refund for bookings you need to cancel. Refunds vary based on timeframe before schedule departure, cabin class, and other variables.

Visit our contact customer service to initiate a refund request."
Airport check-in,How soon should I arrive at the airport for my flight?,It is recommended that you reach the airport at least 3 hours prior to your scheduled departure time.
Airport check-in,When does the check-in counter at the airport close?,"This may vary depending upon the airport of departure. However, check-in generally opens 3 hours prior to departure and closes 1 hour prior to departure."
Airport check-in,What If I fail to check in on time at the airport?,"If you fail to check in on time, you may not be able to get on your scheduled flight. This policy helps ensure that passengers with connecting flights will make it on time, and it helps us maintain an on-time performance record.

 Depending on the terms and conditions of your booking, failure to check in on time may result in loss of the original fare value. You may be required to pay a change fee plus any difference in fare for a new ticket if you wish to travel. Or, you may request a refund, subject to the fare rules."
Airport check-in,I have checked in online. Where do I drop my baggage?,"Here’s what you need to know about checking in your baggage after completing the online check-in for your flight:

Arrive at the airport: Reach well in advance of your flight’s departure time.

Baggage drop: Look for Air India’s designated baggage drop or check-in counters at the airport. This is where you will check your baggage for the flight. However, you can head directly to security after checking in online in case you only have hand or cabin baggage, or after dropping your checked-in bags at the self-baggage drop facility. Please note that it only applies to domestic travel in India.

Verification: Present your travel documents to the airline staff at the counter, including your boarding pass (or confirmation slip) and identification.

Baggage tagging: Our staff will assist you in tagging your checked baggage with a unique id. This tag ensures that your baggage is routed correctly to your destination.

Additional information

Passengers travelling from the Indira Gandhi International Airport in Delhi to Australia can use self-check-in kiosks and self-baggage drops instead of going to the counters.

Always check the specific instructions on your e-ticket, as procedures may vary based on the airport and destination.

For more information related to online check-in, you can refer to our official Baggage FAQ page."
Airport check-in,Do I need to check in again at the airport if I have already checked in online?,"Domestic passengers

Once you check in online, you do not need to check in again at the airport counter. However, you will need to visit the Air India counter to drop your check-in baggage.

You can head to security directly after checking in online in case you only have hand or cabin baggage or after dropping your checked-in bags at the self-baggage drop facility. However, this is limited to domestic travel in India.

International passengers

After completing online check-in, you will be required to visit the airport counter to complete document verification and baggage drop.

Additional information

Our self-check-in kiosks and self-baggage drop services empower our guests to take charge of their journey and have a seamless experience while also saving time. Currently, this facility is available across our domestic network but only limited to domestic passengers in India. Our international passengers can use these kiosks at terminal T3 of the Delhi airport for Australia-bound flights. We are dedicated to expanding this service and you can expect to use it on more routes in the future. "
Boarding pass,Will I be issued a boarding pass after checking in online?,"Domestic travellers will be issued a digital boarding pass when they check in online for a domestic flight. The pass can be a mobile boarding pass or a printable PDF, based on your choice. You can save the mobile pass on your smartphone and present it at checkpoints in the airport. If you prefer a printed pass, you can print the PDF version and carry it with you for the journey.

Passengers travelling internationally or on a domestic segment followed by an international flight may receive a confirmation slip. If you receive a confirmation slip instead of a boarding pass, please bring the confirmation slip to the airport check-in counter on the day of your departure. You will be issued a boarding pass after verification is done at the counter.

Please ensure that the information on your boarding pass matches the details on your travel documents accurately. For a seamless travel experience, have the boarding pass readily accessible throughout your journey."
Boarding pass,"What is a confirmation slip, and why is it issued?","A confirmation slip is an important document issued to passengers travelling on international flights from India after completing the online check-in process. It serves as proof of your successful check-in and carries essential information such as the flight number, departure time, seat assignment, etc. It also confirms that you have completed the necessary pre-flight formalities and are eligible to board the aircraft.

How to use it

You can print the confirmation slip or save a digital copy on your mobile device. The confirmation slip will help our staff verify your travel documents at the check-in counter. You will be issued your boarding pass if all the documents are in place.

Additional information

Passengers departing from an international airport on Air India flights are generally issued a boarding pass. However, if there is a mismatch between the booking name and the passport name, a confirmation slip will be issued, which must be presented at check-in."
Boarding pass,Can I board my flight with a confirmation slip?,"No, you need a boarding pass to board the flight. The boarding pass will be issued after you present the confirmation slip at the check-in counter and the verification is done successfully."
Boarding pass,What to do if I do not receive my boarding pass after checking in online?,"It usually takes up to 15 minutes after completing check-in for your boarding pass to arrive in the inbox of your registered email. In the rare instance that you do not receive your boarding pass after completing the online check-in process, do not worry as there are steps to address this situation. Here’s what you should do:

Check spam folder: First, check your email inbox’s spam or junk folder to ensure that the email has not been redirected there.

Recheck check-in status: Verify that you completed the check-in successfully by visiting our Manage Booking page and retrieving your ticket.

Contact us: Promptly contact Air India’s customer support for assistance. Provide your Booking Reference, flight details, and other relevant information.

Airport assistance: If you are unable to resolve the issue before departure, proceed to the airport well in advance of your flight. Approach the Air India staff at any of our counters for assistance in obtaining a boarding pass.

 Additional information

While instances of not receiving a boarding pass are uncommon, it is important to address the issue promptly to ensure a smooth boarding process. Please make sure you have your Booking Reference and identification handy when seeking assistance."
Boarding pass,Will I be issued a boarding pass while flying on a domestic segment followed by an international flight?,"Passengers travelling on a domestic segment followed by an international flight may receive a confirmation slip. If you receive a confirmation slip instead of a boarding pass, please bring the confirmation slip to the airport check-in counter on the day of your departure. Our staff will issue a boarding pass once the verification is complete."
Other issues,Can I undo check-in if I decide not to travel?,"Yes, you can cancel your online check-in if your plans change and you decide not to travel. We understand that circumstances may arise that require adjustments to your schedule. You can undo the check-in in two ways:"
Other issues,I am unable to view my booking after entering my Booking Reference and name on the check-in screen. What do I do?,"If you encounter difficulties while attempting to view your booking after entering the Booking Reference and your name, here’s what you should do:

Double-check information: Ensure that the Booking Reference and the last name you entered exactly match the details in your flight reservation confirmation and travel documents.

Case sensitivity: Pay attention to the case sensitivity of the letters in your last name. Some systems require accurate casing.

Booking confirmation: Verify that your flight booking is confirmed and that you are eligible for an online check-in. Passengers with special needs or those who request special assistance at the time of booking cannot check in online. If you have booked with a travel agency, ensure that they have issued a valid Booking Reference.

Airport check-in: If you are unable to resolve the issue online, you can always complete the check-in at our airport counter. Arrive early with sufficient time for the procedures."
From Check-in to Claims,How do I check my baggage if I have checked in for the flight online?,"If you have checked in for your flight online and need to check your baggage, follow these steps for a seamless process:

Checked baggage guidelines

First, review our baggage guidelines to familiarise yourself with the allowed weight, size, and number of bags based on your travel class and destination.

Proceed to the airport

Arrive at the airport with sufficient time before your flight departure. The check-in window may vary but it’s usually available from 48 hours up to 60 minutes before the flight departure time.

Baggage drop counter

Head to the designated baggage drop counter at the airport. These counters are usually separate from the regular check-in counters and are meant for passengers who have checked in online but need to drop off their baggage.

Present your documents

Approach the airline staff at the baggage drop counter and present your travel documents such as your e-ticket and identification like passport, driver’s license, etc.

Check in your baggage

The airline staff will assist you with checking in your baggage. They will weigh your bags to ensure they meet the weight limits and tag them with destination labels.

Collect boarding pass (if needed)

If you haven't already obtained your boarding pass during the online check-in, the staff at the baggage drop counter may issue it to you at this stage. "
From Check-in to Claims,Can I track my baggage during my journey after it has been checked in?,"Yes, we have an advanced tracking system that allows you to monitor the status and location of your checked baggage. Here’s how you can track your baggage:

Baggage tracking system

Access the WorldTracer by visiting the Baggage Tracking Page on our website.

Enter required information

On our tracking page, enter essential details such as your last name, booking reference number (PNR), or baggage reference number (tag number). These details are usually available on your boarding pass or baggage claim tag.

SMS and email updates

Once you check in your baggage, you receive an email and an SMS on your registered number and id respectively. The message will notify that the baggage has been successfully checked in and loaded on the aircraft. This SMS/email includes the baggage reference number (tag number) that will allow you to track your baggage in case it gets misplaced.

Get real-time updates

Once you have provided the required information, the system will display real-time updates on the location and status of your checked baggage. You can track its movement and know when it is delivered at your destination airport.

Baggage tracking provides peace of mind and allows you to trace the whereabouts of your belongings, especially during connecting flights or layovers.

It is advisable to keep your baggage claim tags safe until you receive your luggage at your destination. "
From Check-in to Claims,Can I check in my baggage the night before my flight?,"Although we do not have a specific policy for checking in baggage the night before a flight, in some cases, it can be done depending on the time of your departure. We make exceptions in certain situations, such as early morning flights or if a passenger has a long layover between flights. In such cases, passengers can check in their baggage the night before their flight. In all other cases, passengers must check in their baggage at the airport on the day of their flight within the specified check-in hours.

To ensure a smooth travel experience, ensure that you arrive at the airport well ahead of your flight's departure time and check in your baggage during the designated check-in hours.

Check in Now"
From Check-in to Claims,"What are Air India's self-baggage drop counters, and how can I use them?","Our baggage drop counters provide a convenient way for you to drop off your luggage without waiting in long check-in queues. To take advantage of this service, please follow these simple steps:

Check in online

Complete your check-in using our website or app check-in facility.

Obtain boarding pass

You will receive a printable boarding card for domestic travel or a confirmation slip for international travel. Please note that codeshare flights are not currently eligible for this service.

Baggage drop

Head to Air India's baggage drop counter at the origin airport, ensuring your bags meet the required allowance.

Proceed to security and boarding

After checking in your baggage, proceed to the security check and then to the boarding gate for your flight to enjoy a pleasant journey with Air India. "
Baggage on Connecting Flights,"Is my checked baggage transferred to the final destination if I have a connecting flight, or do I need to check in again during transit?","If you have a connecting flight on a single e-ticket with us or a partner airline, your checked baggage is typically transferred automatically to your final destination. You won't need to check it in again during transit. Please ensure your entire itinerary is booked on a single ticket for a hassle-free baggage transfer.

For separate tickets on different airlines, baggage transfer may not be automatic. In such cases, you must claim and recheck your baggage at each connecting point.

To confirm the baggage transfer policy for your specific itinerary, check with our customer support or your booking agent at the time of reservation. "
Baggage on Connecting Flights,Will my baggage allowance change when I board a connecting flight in a different sector?,"Yes, your baggage allowance may change when you board a connecting flight in a different sector, depending on various factors such as airline policy, travel class, and the specific route. Here's what you need to consider:

Same airline and ticket

If your connecting flight is part of the same booking on a single e-ticket with the same airline, the baggage allowance is consistent throughout the journey.

Different airlines, separate tickets

When connecting flights are booked separately or involve different airlines, baggage allowance may vary between sectors. Each airline typically follows baggage policies specific to them, and you may need to comply with the rules of each carrier for the respective segments.

Additional information

To ensure you are aware of any changes in baggage allowance, carefully review the baggage policies of all airlines involved in your journey, especially when booking connecting flights on separate tickets or with different carriers.

Booking your entire itinerary or a single ticket with the same airline or partner airlines can help maintain a consistent baggage allowance for all sectors. "
Baggage Policy for Infants/Children,What is the baggage allowance for unaccompanied minors and children?,We take extra care of our young guests. They are allowed to check in the same amount of baggage as any adult passenger on that flight.
Baggage Policy for Infants/Children,Is there any baggage allowance for infants travelling without a seat?,We have a fixed baggage allowance of 10kg/22lb for infants across all travel classes.
Excess Baggage,What is the fee for booking excess baggage on a flight?,"The cost of booking excess baggage on a flight with Air India can vary between several factors, including the route, travel class, and the weight of the additional baggage.

The charges are usually calculated based on the additional weight of the baggage. Air India often uses a tiered pricing structure for excess baggage, where the charges increase with the weight of the additional baggage. The charges vary for domestic and international flights.

Domestic flights

Excess baggage charges can range from approximately INR 400 to INR 750 per kg.

International flights

Excess baggage charges can vary from approximately USD 100 to USD 200 per piece or kg of excess baggage, depending on the route and travel class.

How to calculate excess baggage charges

To determine the exact cost of booking excess baggage on your flight, refer to our official Excess Baggage Page. On this page, you will find detailed information about the charges, guidelines, and the process to pre-book excess baggage if required.

Additional information

Pre-booking excess baggage is often more cost-effective than paying at the airport. To avoid any surprises and to plan your journey efficiently, reviewing the excess baggage charges for your itinerary is essential.

Travel with ease and ensure your baggage complies with the allowed limits for a smooth journey with us. "
Excess Baggage,Can I pre-book excess baggage before my flight?,"Yes, you can pre-book excess baggage on our domestic flights at discounted rates up to six hours before departure. After you book a flight with us, you can buy excess baggage for that journey by visiting the Manage Booking section on our website or app.

You can also book excess baggage through the following channels:"
Excess Baggage,Can I pay for excess baggage at the airport if I have not prebooked it?,"Yes, you can pay for excess baggage at the airport at our check-in counters. However, pre-booking excess baggage is often more cost-effective than paying at the airport. And during busy travel periods or on specific routes, we may be unable to accommodate your excess baggage request. "
Issues with Baggage,How do I report any damages that happen to my baggage during a flight?,"If you discover baggage damage during your journey, you must take immediate action and report the issue to Air India. Here's what you should do to report damages to your baggage:

Immediate inspection

Upon receiving your baggage at the destination airport, inspect immediately for any visible damages or signs of mishandling. If you notice any damages, report them to the airline staff at the baggage claim area before leaving the airport.

File a Property Irregularity Report (PIR)

If you notice baggage damages at the airport, request Air India representatives to assist you in finding a Property Irregularity Report.

The PIR is an official document that documents the conditions of your baggage and the reported damages. Make sure to provide accurate information and keep a copy of the report for your record.

Provide relevant details

While filing the PIR, be prepared to provide relevant details about your flight, baggage tags, contact information and a description of the damages incurred.
Including photographs of the damaged baggage can be helpful in the claims process.

Follow-up and claims

After filling out the PIR, you can trace your baggage using the WorldTracer baggage tracking system.

For detailed information on reporting damages to your baggage and specific procedures, refer to our official Lost and Damaged Baggage Page.

It's crucial to report damages as soon as possible to improve the chances of a successful claim and resolution."
Issues with Baggage,What should I do if my baggage is lost during the journey?,"Losing your baggage during a journey can be distressing, but immediate action can help locate and recover your belongings. Here is what you should do if your baggage is lost:

Notify us

Report the loss immediately to Air India staff at the baggage claim area or the ‘Lost and Found’ desk. Provide flight details, baggage tags, and a detailed description of the lost items.

File a Property Irregularity Report (PIR)

Request help to file a PIR – an official document to record the details of your lost baggage. Keep a copy of the report for follow-up.

Check online

Use the PIR reference number to track your lost package status on our WorldTracer baggage tracking system(opens in a new tab). Any baggage that cannot be traced 21 days from the date of filing of the report is considered lost.

Claim compensation (if applicable)

You may be eligible for a one-time settlement as interim relief. To read our policy on compensation if your baggage is not recovered within a specified period, visit our Lost and Damaged Baggage Page.

Travel confidently, knowing that Air India is dedicated to resolving such incidents with care and efficiency. "
Issues with Baggage,My baggage has not arrived at the destination. What do I do?,"Please report the loss to the Air India personnel at the airport. They will file a Property Irregularity Report, and you will be given a reference number for follow-up action. "
Issues with Baggage,What should I do if I forget my baggage at the airport or on the flight?,"Please contact Air India's airport staff, and they should be able to help with this. If you have already left the airport, please raise a request using our customer support portal, and our executive can help with this request. "
Issues with Baggage,I picked up the wrong bag at the airport. What should I do?,"If you pick up a wrong bag at the airport, promptly bring it to an Air India baggage services counter at the airport nearest to you. Our dedicated staff will work diligently to resolve the issue and reunite you with your belongings."
Issues with Baggage,My baggage did not arrive at the destination airport. Will I get severance for my loss?,"If your baggage does not arrive at the destination airport, you may be eligible for a one-time settlement as interim relief.

It is essential to promptly report the loss of your baggage to the Air India staff in the baggage claim area and file a Property Irregularity Report (PIR) to initiate the claims process and determine the exact compensation.

We will make every effort to locate and reunite you with your belongings. To understand the severance compensation and the process of claiming compensation for your lost baggage, please refer to our official Lost and Damaged Baggage Page.

Be patient and cooperative during the process, as our dedicated staff will work diligently to resolve the issue and compensate you for your loss to the best of our ability. Travel with the confidence that Air India is committed to resolving any issues of loss or damage of baggage promptly and efficiently. "
Limits and Restrictions,Can I carry alcohol on Air India?,"Yes, you can take up to 5 litres of alcohol per person in your carry-on bag. The total can be up to 70% alcohol by volume and must be in its retail packaging. Keep the bottles and carry bags sealed. Make sure to keep your receipts handy. "
Limits and Restrictions,How much liquid can I carry in my hand baggage?,You can carry liquids in your hand baggage under the following regulations:
Special Items,What is the baggage policy for passengers with disabilities or medical conditions?,"Air India is committed to assisting and supporting passengers with disabilities or medical conditions. The baggage policy for such passengers accommodates their needs while ensuring a safe and comfortable journey.

Medical equipment

Essential medical equipment like wheelchairs is allowed free of charge and does not count towards the regular baggage allowance.

Additional baggage allowance

Passengers can carry essential medication in their cabin baggage, regardless of the liquid or gel restrictions, provided they have the prescribed documents.

Air India ensures a welcoming and accessible travel experience for all passengers, addressing their specific needs with care and support. "
Special Items,Can I carry sports equipment as baggage on flights?,"Air India allows passengers to carry sports equipment as carry-on and checked baggage, depending on the specific item and its dimensions. Here is what you need to know:

Carry-on baggage

Some sports equipment may be allowed as carry-on baggage, provided it meets the size and weight restrictions allowed for cabin luggage.

Examples of carry-on sports equipment may include small items like badminton rackets or tennis rackets if they fit within the allowed dimensions.

Checked baggage

Larger sports equipment that exceeds the size limits for carry-on baggage must be checked as ‘special baggage’.

Items like golf clubs, bicycles, skis, surfboards, etc. typically fall under checked baggage and are categorised as ‘special baggage’.

Packaging and restrictions

Ensure your sports equipment is appropriately packed and protected to prevent any damage during handling and transport. Certain items may require specific cases or packaging to meet safety requirements.

Advance intimation

If you intend to carry sports equipment as checked baggage, it is advisable to inform Air India during the booking process or at least 24-48 hours before departure. It allows us to make necessary arrangements and accommodate the equipment in the cargo hold.

Charges and documentation

Depending on the size and weight of the sports equipment, additional charges may apply for checked baggage. Specific documentation and approvals may be required for certain items, like firearms or ammunition for sports. "
